Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
01/01/2024,"14.546,242","0,000","241,608","1.344,369","0,000","0,000","3.314,865","0,000","0,000","4.591,598","538,128","1.787,880","0,000","2.965,924","240,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15.024,372"
02/01/2024,"15.353,764","0,000","164,744","1.098,033","0,000","0,000","3.125,136","0,000","0,000","5.276,509","335,673","2.105,667","0,000","3.522,492","120,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15.748,254"
03/01/2024,"14.299,435","0,000","430,077","1.128,158","0,000","0,000","2.085,632","0,000","0,000","5.855,151","430,713","872,441","0,000","3.396,881","320,000","0,000","0,000","0,000","0,000","0,000","32,111","0,000","14.551,164"
04/01/2024,"14.508,231","0,000","369,986","878,758","0,000","0,000","2.623,431","0,000","0,000","8.243,250","347,146","1.202,317","0,000","2.130,440","980,354","257,000","0,000","0,000","18,000","116,000","309,684","0,000","17.476,366"
05/01/2024,"16.498,600","0,000","368,454","616,892","0,000","0,000","3.131,660","0,000","0,000","5.430,188","4.354,697","1.112,699","0,000","1.606,512","660,000","0,000","0,000","0,000","12,000","0,000","67,179","0,000","17.360,281"
06/01/2024,"15.511,085","0,000","787,334","1.189,760","0,000","0,000","4.585,201","0,000","0,000","5.623,738","676,667","947,853","0,000","2.204,152","360,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","16.374,705"
07/01/2024,"13.174,474","0,000","998,353","744,668","0,000","0,000","3.462,589","0,000","0,000","3.337,408","297,162","467,831","0,000","4.351,944","25,000","218,429","0,000","0,000","13,000","0,000","0,000","0,000","13.916,384"
08/01/2024,"15.304,811","0,000","144,954","1.176,440","0,000","0,000","4.256,275","0,000","0,000","8.126,233","234,817","540,998","0,000","1.589,405","1.690,976","296,469","0,000","0,000","4,000","0,000","261,997","0,000","18.322,564"
09/01/2024,"20.434,015","0,000","700,396","1.245,407","0,000","0,000","3.235,994","0,000","0,000","5.087,618","714,974","4.950,431","0,000","2.422,203","2.739,825","60,000","0,000","0,000","176,000","0,000","386,100","0,000","21.718,948"
10/01/2024,"18.814,231","0,000","243,563","1.285,138","0,000","0,000","2.557,878","0,000","0,000","6.222,211","504,137","1.195,662","0,000","1.832,171","5.879,683","243,622","0,000","0,000","0,000","0,000","91,146","0,000","20.055,211"
11/01/2024,"14.868,634","0,000","146,770","1.834,300","0,000","0,000","2.670,530","0,000","0,000","4.460,233","294,975","802,245","0,000","1.929,218","1.785,841","1.239,000","0,000","0,000","0,000","142,000","8,247","0,000","15.313,359"
12/01/2024,"19.542,750","0,000","335,906","1.003,375","0,000","0,000","2.433,855","0,000","0,000","5.595,312","598,649","1.136,718","0,000","3.074,220","4.749,197","373,436","0,000","0,000","0,000","48,000","708,467","0,000","20.057,135"
13/01/2024,"13.029,435","0,000","228,155","940,208","0,000","0,000","3.217,446","0,000","0,000","4.686,698","579,844","961,614","0,000","2.385,088","426,963","20,000","0,000","0,000","0,000","63,000","0,219","0,000","13.509,235"
14/01/2024,"11.390,194","0,000","517,091","1.081,146","0,000","0,000","2.167,783","0,000","0,000","3.501,229","161,399","230,821","0,000","2.980,985","910,520","17,000","0,000","0,000","109,000","48,000","63,000","0,000","11.787,974"
15/01/2024,"13.016,100","0,000","321,531","1.050,220","0,000","0,000","2.557,641","0,000","0,000","5.210,217","283,480","676,710","0,000","2.545,239","660,000","5,000","0,000","0,000","67,941","56,000","14,746","0,000","13.448,725"
16/01/2024,"18.477,656","0,000","308,915","2.176,316","0,000","0,000","2.564,410","0,000","0,000","6.667,594","656,930","1.033,176","0,000","2.266,925","2.553,366","0,000","0,000","0,000","10,000","56,000","221,520","0,000","18.515,152"
17/01/2024,"17.851,390","0,000","527,875","1.160,913","0,000","0,000","3.133,321","0,000","0,000","6.448,359","511,744","960,277","0,000","2.746,217","3.642,033","277,702","0,000","0,000","0,000","80,000","29,800","0,000","19.518,241"
18/01/2024,"18.393,563","0,000","334,875","1.425,725","0,000","0,000","3.602,871","0,000","0,000","6.965,334","890,328","824,294","0,000","2.670,152","1.409,380","135,484","0,000","0,000","42,000","249,624","179,915","0,000","18.729,982"
19/01/2024,"16.463,510","0,000","294,542","1.060,970","0,000","0,000","4.799,376","0,000","0,000","6.212,831","869,339","1.052,592","0,000","1.957,732","957,892","3,200","0,000","0,000","0,000","56,000","130,854","0,000","17.395,328"
20/01/2024,"12.470,196","0,000","119,625","1.390,734","0,000","0,000","3.057,033","0,000","0,000","6.038,444","490,142","914,102","0,000","1.659,331","938,505","0,000","0,000","0,000","133,750","63,000","29,240","0,000","14.833,906"
21/01/2024,"11.699,783","0,000","258,355","1.022,653","0,000","0,000","2.922,148","0,000","0,000","5.326,301","261,642","461,552","0,000","5.717,340","935,441","0,000","0,000","0,000","0,000","0,000","780,799","0,000","17.686,231"
22/01/2024,"12.721,877","0,000","269,664","1.121,960","0,000","0,000","2.429,542","0,000","0,000","6.505,597","160,179","534,035","0,000","1.283,383","731,658","0,000","0,000","0,000","0,000","0,000","136,509","0,000","13.172,527"
23/01/2024,"17.239,733","0,000","398,317","834,233","1.307,000","0,000","2.578,743","0,000","0,000","4.896,548","524,171","2.002,053","0,000","2.593,838","1.099,978","1.624,179","0,000","0,000","0,000","48,000","326,843","0,000","18.233,903"
24/01/2024,"16.230,650","0,000","308,490","1.241,664","0,000","0,000","3.646,562","0,000","0,000","5.002,983","521,326","2.063,698","0,000","4.195,761","120,000","101,113","0,000","0,000","40,000","200,000","162,213","0,000","17.603,810"
25/01/2024,"14.952,359","0,000","264,149","888,238","0,000","0,000","2.256,132","0,000","0,000","5.325,972","572,478","734,773","0,000","1.251,187","2.626,940","161,000","0,000","0,000","0,000","45,000","449,764","0,000","14.575,633"
26/01/2024,"13.158,478","0,000","409,011","1.047,909","0,000","0,000","2.560,574","0,000","0,000","5.454,475","677,801","1.094,750","0,000","2.078,751","200,000","91,178","0,000","0,000","0,000","46,000","57,199","0,000","13.717,648"
27/01/2024,"13.066,740","0,000","233,132","944,472","0,000","0,000","2.753,611","0,000","0,000","6.410,919","543,787","473,805","0,000","1.001,782","324,807","382,448","0,000","0,000","0,000","16,000","686,817","0,000","13.771,580"
28/01/2024,"12.981,952","0,000","240,662","691,989","0,000","0,000","2.557,048","0,000","0,000","3.206,009","2.563,003","605,232","0,000","3.428,600","0,000","0,000","0,000","0,000","0,000","6,352","0,000","0,000","13.298,895"
29/01/2024,"15.754,224","0,000","427,779","1.215,311","0,000","0,000","3.304,302","0,000","0,000","5.498,168","470,396","805,614","0,000","3.615,358","494,515","489,064","0,000","0,000","36,000","0,000","293,957","0,000","16.650,464"
30/01/2024,"12.919,773","0,000","184,530","1.039,672","0,000","0,000","3.226,061","0,000","0,000","7.320,789","808,345","971,560","0,000","1.292,874","280,000","0,000","0,000","0,000","0,000","37,000","0,000","0,000","15.160,831"
31/01/2024,"11.635,014","0,000","885,697","691,986","0,000","0,000","2.176,695","0,000","0,000","4.619,207","415,452","456,099","0,000","1.576,329","290,701","362,000","0,000","0,000","45,000","85,000","532,838","0,000","12.137,004"
01/02/2024,"12.848,325","0,000","234,303","767,598","0,000","0,000","2.595,415","0,000","0,000","4.638,455","151,700","792,655","0,000","3.201,305","760,000","60,289","0,000","0,000","0,000","40,000","56,405","0,000","13.298,125"
02/02/2024,"13.190,024","0,000","1.306,007","905,004","0,000","0,000","2.428,793","0,000","0,000","4.678,045","208,024","694,730","0,000","2.080,860","691,628","0,000","0,000","0,000","54,000","40,000","280,103","0,000","13.367,194"
03/02/2024,"10.228,012","0,000","173,201","690,474","0,000","0,000","2.344,543","0,000","0,000","4.564,193","180,619","481,558","0,000","1.459,061","220,000","100,000","0,000","0,000","0,000","72,000","259,853","0,000","10.545,502"
04/02/2024,"8.604,952","0,000","74,141","1.056,354","0,000","0,000","1.650,231","0,000","0,000","4.281,185","111,266","321,993","0,000","1.184,344","60,000","0,000","0,000","0,000","0,000","0,000","102,988","0,000","8.842,502"
05/02/2024,"14.213,177","0,000","310,580","1.274,539","0,000","0,000","3.287,763","0,000","0,000","6.476,474","328,406","836,507","0,000","1.603,394","0,000","6,000","0,000","0,000","13,000","0,000","421,252","0,000","14.557,915"
06/02/2024,"17.422,975","0,000","359,920","1.166,112","0,000","0,000","3.340,609","0,000","0,000","8.912,202","200,676","1.862,083","0,000","1.794,960","0,000","40,000","0,000","0,000","0,000","35,000","30,920","0,000","17.742,482"
07/02/2024,"20.014,209","0,000","252,457","812,870","0,000","0,000","2.323,660","0,000","0,000","19.505,337","149,009","790,372","0,000","1.032,330","25,000","13,000","0,000","0,000","0,000","0,000","201,952","0,000","25.105,987"
08/02/2024,"16.295,043","0,000","464,831","817,046","0,000","0,000","2.482,481","0,000","0,000","8.295,375","376,323","1.792,317","0,000","1.420,946","536,205","245,000","0,000","0,000","0,000","0,000","41,809","0,000","16.472,333"
09/02/2024,"14.277,099","0,000","334,821","1.556,652","0,000","0,000","2.899,276","0,000","0,000","6.145,300","316,706","907,712","0,000","1.798,721","26,508","0,000","0,000","0,000","0,000","0,000","131,854","0,000","14.117,550"
10/02/2024,"14.575,306","0,000","518,843","1.022,234","0,000","0,000","2.090,623","0,000","0,000","5.676,782","824,263","997,165","0,000","2.237,365","1.719,927","97,443","0,000","0,000","0,000","0,000","59,421","0,000","15.244,066"
11/02/2024,"14.018,486","0,000","318,271","847,788","0,000","0,000","1.581,977","0,000","0,000","3.381,521","317,368","1.028,668","0,000","1.071,456","3.640,862","858,728","0,000","0,000","0,000","0,000","996,325","0,000","14.042,964"
12/02/2024,"12.698,059","0,000","363,299","1.143,522","0,000","0,000","2.731,590","0,000","0,000","4.828,950","1.109,729","856,251","0,000","1.915,490","105,411","110,367","0,000","0,000","0,000","0,000","0,000","0,000","13.164,609"
13/02/2024,"14.480,739","0,000","316,713","1.109,761","0,000","0,000","4.443,753","0,000","0,000","5.465,812","261,615","1.161,783","0,000","2.389,589","441,181","0,000","0,000","0,000","34,000","0,000","43,512","0,000","15.667,719"
14/02/2024,"20.131,711","0,000","359,723","1.279,684","0,000","0,000","9.626,114","0,000","0,000","5.332,351","196,222","969,986","0,000","2.768,689","140,000","5,000","0,000","0,000","6,000","0,000","26,248","0,000","20.710,017"
15/02/2024,"17.989,465","0,000","238,508","1.049,974","0,000","0,000","7.864,539","0,000","0,000","5.436,068","120,679","879,530","0,000","1.124,694","1.656,424","15,000","0,000","0,000","0,000","0,000","0,000","0,000","18.385,416"
16/02/2024,"12.351,700","0,000","252,090","1.391,365","0,000","0,000","2.057,129","0,000","0,000","5.913,507","275,983","822,111","0,000","1.679,101","188,168","0,000","0,000","0,000","5,000","0,000","70,936","0,000","12.655,390"
17/02/2024,"11.707,798","0,000","185,820","898,296","0,000","0,000","1.552,381","0,000","0,000","5.099,328","248,748","871,471","0,000","1.512,226","1.390,751","65,349","0,000","0,000","0,000","0,000","244,418","0,000","12.068,788"
18/02/2024,"10.035,163","0,000","146,875","710,619","0,000","0,000","1.711,123","0,000","0,000","3.901,036","118,631","711,056","0,000","2.801,752","50,100","30,000","0,000","0,000","0,000","0,000","61,931","0,000","10.243,123"
19/02/2024,"10.694,804","0,000","296,420","959,669","0,000","0,000","2.067,027","0,000","0,000","4.241,847","339,011","583,199","0,000","2.096,237","200,000","49,685","0,000","0,000","0,000","0,000","202,349","0,000","11.035,444"
20/02/2024,"18.691,478","0,000","1.619,382","1.353,856","0,000","0,000","2.173,308","0,000","0,000","10.609,273","302,289","721,890","0,000","1.860,687","0,000","0,000","0,000","0,000","29,000","0,000","294,403","0,000","18.964,088"
21/02/2024,"13.499,968","0,000","470,842","1.347,353","0,000","0,000","2.299,379","0,000","0,000","5.152,265","433,635","983,221","0,000","2.373,254","431,442","0,000","0,000","0,000","0,000","6,138","319,479","0,000","13.817,008"
22/02/2024,"13.374,659","0,000","358,149","1.120,960","0,000","0,000","1.893,540","0,000","0,000","5.862,915","742,770","677,577","0,000","1.652,678","300,000","0,000","0,000","0,000","110,700","0,000","275,644","0,000","12.994,933"
23/02/2024,"16.552,712","0,000","384,446","1.483,722","0,000","0,000","3.435,949","0,000","0,000","6.732,829","187,418","1.111,949","0,000","2.634,043","820,921","0,000","0,000","0,000","17,000","0,000","185,354","0,000","16.993,631"
24/02/2024,"13.768,555","0,000","478,772","953,329","0,000","0,000","2.224,709","0,000","0,000","5.633,640","190,276","1.095,087","0,000","2.505,831","1.185,094","385,716","0,000","0,000","0,000","0,000","8,208","0,000","14.660,662"
25/02/2024,"12.120,749","0,000","736,661","788,010","0,000","0,000","1.555,093","0,000","0,000","5.092,191","456,703","818,078","0,000","2.772,015","440,000","0,000","0,000","0,000","0,000","0,000","17,646","0,000","12.676,397"
26/02/2024,"11.929,508","0,000","905,811","899,695","0,000","0,000","2.013,561","0,000","0,000","4.586,033","258,043","1.192,008","0,000","1.380,372","1.342,485","81,747","0,000","0,000","87,000","0,000","93,850","0,000","12.840,605"
27/02/2024,"17.205,508","0,000","418,324","1.356,183","0,000","0,000","2.956,381","0,000","0,000","8.151,192","677,618","1.483,941","0,000","1.878,144","770,000","70,000","0,000","0,000","0,000","30,000","121,494","0,000","17.913,277"
28/02/2024,"15.339,535","0,000","386,695","913,735","0,000","0,000","2.514,079","0,000","0,000","4.932,300","1.318,256","1.410,474","0,000","2.443,532","720,000","140,225","0,000","0,000","51,000","75,000","239,571","0,000","15.144,867"
29/02/2024,"18.145,821","0,000","704,954","1.341,335","0,000","0,000","4.038,584","0,000","0,000","6.275,327","335,896","1.158,397","0,000","4.809,742","48,289","20,000","0,000","0,000","0,000","115,000","53,317","0,000","18.900,841"
01/03/2024,"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
02/03/2024,"13.101,249","0,000","554,074","1.061,725","0,000","0,000","1.735,129","0,000","0,000","6.460,785","154,864","687,205","0,000","1.545,322","62,334","99,000","0,000","0,000","37,899","134,000","1.410,682","0,000","13.943,019"
03/03/2024,"9.246,073","0,000","245,405","675,419","0,000","0,000","1.417,211","0,000","0,000","4.874,760","365,031","379,529","0,000","1.442,145","85,000","0,000","0,000","0,000","10,000","0,000","142,470","0,000","9.636,970"
04/03/2024,"14.192,430","0,000","460,585","923,903","0,000","0,000","2.633,539","0,000","0,000","6.229,849","713,247","480,181","0,000","3.067,489","145,000","15,000","0,000","0,000","11,000","0,000","101,412","0,000","14.781,205"
