Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
01/01/2024,,"107,61","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","0,00","0,00","107,62","107,62","107,62","107,62"
02/01/2024,,"108,33","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","0,00","0,00","108,34","108,34","108,34","108,34"
03/01/2024,,"98,57","99,86","97,54","99,86","99,86","99,86","99,86","99,86","97,54","99,86","99,86","97,54","99,86","97,54","99,86","99,86","0,00","0,00","97,54","99,86","97,54","99,86"
04/01/2024,,"96,47","97,52","93,19","97,52","97,52","97,52","97,52","97,52","93,19","97,52","97,52","93,19","97,52","93,19","97,52","97,52","0,00","0,00","93,19","97,52","93,19","97,52"
05/01/2024,,"104,47","104,51","104,16","104,51","104,51","104,51","104,51","104,51","104,41","104,51","104,51","104,16","104,51","104,41","104,51","104,51","0,00","0,00","104,16","104,51","104,41","104,51"
06/01/2024,,"103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","103,09","0,00","0,00","103,09","103,09","103,09","103,09"
07/01/2024,,"100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","100,78","0,00","0,00","100,78","100,78","100,78","100,78"
08/01/2024,,"107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","107,65","0,00","0,00","107,65","107,65","107,65","107,65"
09/01/2024,,"107,68","107,77","106,89","107,77","107,77","107,77","107,77","107,77","107,70","107,77","107,77","106,89","107,77","107,70","107,77","107,77","0,00","0,00","106,89","107,77","107,70","107,77"
10/01/2024,,"111,85","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","111,86","0,00","0,00","111,86","111,86","111,86","111,86"
11/01/2024,,"109,85","109,87","109,52","109,87","109,87","109,87","109,87","109,87","109,87","109,87","109,87","109,52","109,87","109,87","109,87","109,87","0,00","0,00","109,52","109,87","109,87","109,87"
12/01/2024,,"107,12","107,73","106,09","107,73","106,65","107,73","106,65","107,73","106,09","107,73","106,65","106,09","107,73","106,09","107,73","107,73","0,00","0,00","106,09","106,65","106,09","107,73"
13/01/2024,,"104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","104,63","0,00","0,00","104,63","104,63","104,63","104,63"
14/01/2024,,"97,87","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","97,97","0,00","0,00","97,97","97,97","97,97","97,97"
15/01/2024,,"102,96","103,47","102,14","103,47","103,47","103,47","103,47","103,47","102,14","103,47","103,47","102,14","103,47","102,14","103,47","103,47","0,00","0,00","102,14","103,47","102,14","103,47"
16/01/2024,,"107,59","107,62","104,94","107,62","107,62","107,62","107,62","107,62","107,62","107,62","107,62","104,95","107,62","107,62","107,62","107,62","0,00","0,00","104,95","107,62","107,62","107,62"
17/01/2024,,"99,93","100,23","93,32","100,23","100,23","100,23","100,23","100,23","100,23","100,23","100,23","93,32","100,23","100,23","100,23","100,23","0,00","0,00","93,32","100,23","100,23","100,23"
18/01/2024,,"97,94","99,03","92,66","99,03","94,39","99,03","98,52","99,03","92,84","99,03","94,39","92,66","99,03","92,84","99,03","99,03","0,00","0,00","92,66","98,52","92,84","99,03"
19/01/2024,,"90,46","90,54","90,12","90,54","90,12","90,54","90,12","90,54","90,12","90,54","90,12","90,12","90,54","90,12","90,54","90,54","0,00","0,00","90,12","90,12","90,12","90,54"
