Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
01/02/2024,,"102,51","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","102,64","0,00","0,00","102,64","102,64","102,64","102,64"
02/02/2024,,"96,08","96,78","94,46","96,78","94,46","96,78","94,46","96,78","94,46","96,78","94,46","94,46","96,78","94,46","96,78","96,78","0,00","0,00","94,46","94,46","94,46","96,78"
03/02/2024,,"94,48","94,68","94,69","94,69","94,69","94,69","94,69","94,68","94,69","94,68","94,69","94,69","94,68","94,69","94,68","94,68","0,00","0,00","94,69","94,69","94,69","94,68"
04/02/2024,,"79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","79,23","0,00","0,00","79,23","79,23","79,23","79,23"
05/02/2024,,"85,28","85,40","85,27","85,40","85,27","85,27","85,27","85,40","85,27","85,40","85,27","85,27","85,40","85,27","85,40","85,40","0,00","0,00","85,27","85,27","85,27","85,40"
06/02/2024,,"92,46","93,61","90,85","93,61","90,85","93,61","90,85","93,61","90,85","93,61","90,85","90,85","93,61","90,85","93,61","93,61","0,00","0,00","90,85","90,85","90,85","93,61"
07/02/2024,,"98,44","98,33","98,33","98,33","98,33","98,33","98,33","98,33","98,33","98,33","98,33","101,02","98,33","98,33","98,33","98,33","0,00","0,00","101,02","98,33","98,33","98,33"
08/02/2024,,"93,41","93,56","92,40","93,56","92,40","93,56","92,40","93,56","92,40","93,56","92,40","92,40","93,56","92,40","93,56","93,56","0,00","0,00","92,40","92,40","92,40","93,56"
09/02/2024,,"95,80","97,58","93,26","97,58","95,84","97,58","95,84","97,58","93,26","97,58","95,84","93,26","97,58","93,26","97,58","97,58","0,00","0,00","93,26","95,84","93,26","97,58"
10/02/2024,,"81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","81,45","0,00","0,00","81,45","81,45","81,45","81,45"
11/02/2024,,"61,25","62,29","60,80","62,29","54,62","62,29","60,80","62,29","60,80","62,29","54,62","60,80","62,29","60,80","62,29","62,29","0,00","0,00","60,80","60,80","60,80","62,29"
12/02/2024,,"88,67","88,70","88,60","88,70","88,70","88,70","88,70","88,70","88,60","88,70","88,70","88,60","88,70","88,60","88,70","88,70","0,00","0,00","88,60","88,70","88,60","88,70"
13/02/2024,,"98,85","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","98,91","0,00","0,00","98,91","98,91","98,91","98,91"
14/02/2024,,"90,38","92,65","80,61","92,65","92,65","92,65","92,65","92,65","80,61","92,65","92,65","80,61","92,65","80,61","92,65","92,65","0,00","0,00","80,61","92,65","80,61","92,65"
15/02/2024,,"85,23","84,24","85,10","84,24","85,10","85,10","85,10","84,24","85,10","84,24","85,10","91,81","84,24","85,10","84,24","84,24","0,00","0,00","91,81","85,10","85,10","84,24"
16/02/2024,,"84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","84,39","0,00","0,00","84,39","84,39","84,39","84,39"
17/02/2024,,"77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","77,03","0,00","0,00","77,03","77,03","77,03","77,03"
18/02/2024,,"80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","80,61","0,00","0,00","80,61","80,61","80,61","80,61"
19/02/2024,,"78,57","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","78,63","0,00","0,00","78,63","78,63","78,63","78,63"
20/02/2024,,"86,44","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","86,62","0,00","0,00","86,62","86,62","86,62","86,62"
21/02/2024,,"86,28","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","86,32","0,00","0,00","86,32","86,32","86,32","86,32"
22/02/2024,,"80,84","82,51","79,88","82,51","81,31","82,51","81,31","82,51","79,89","82,51","81,31","93,46","82,51","79,89","82,51","82,51","0,00","0,00","93,46","81,31","79,89","82,51"
23/02/2024,,"85,10","86,70","78,24","86,70","86,70","86,70","86,70","86,70","78,24","86,70","86,70","78,24","86,70","78,24","86,70","86,70","0,00","0,00","78,24","86,70","78,24","86,70"
24/02/2024,,"75,72","75,48","75,48","75,48","75,48","75,48","75,48","75,48","75,48","75,48","75,48","78,67","75,48","75,48","75,48","75,48","0,00","0,00","78,67","75,48","75,48","75,48"
