Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
01/01/2024,"5.204,236","0,000","41,774","315,754","0,000","0,000","533,926","0,000","0,000","2.286,153","214,193","588,113","0,000","719,106","272,500","0,000","0,000","0,000","0,000","146,250","86,467","0,000","5.204,236"
02/01/2024,"9.378,610","0,000","89,680","810,539","0,000","0,000","1.813,103","0,000","0,000","5.180,872","132,077","431,338","0,000","848,936","262,500","0,000","0,000","0,000","0,000","131,250","0,000","0,000","9.700,295"
03/01/2024,"6.594,225","0,000","264,884","461,994","0,000","0,000","1.126,380","0,000","0,000","2.690,878","558,827","703,109","0,000","702,139","172,500","0,000","0,000","0,000","169,731","63,605","442,598","0,000","7.356,645"
04/01/2024,"6.105,189","0,000","192,398","713,566","0,000","0,000","996,303","0,000","0,000","2.514,417","196,950","619,088","0,000","878,071","332,978","0,000","0,000","0,000","0,000","5,000","60,104","0,000","6.508,875"
05/01/2024,"6.385,356","0,000","245,947","316,663","0,000","0,000","836,177","0,000","0,000","2.355,616","918,954","596,724","0,000","778,178","72,157","22,679","0,000","0,000","5,000","22,500","429,956","0,000","6.600,551"
06/01/2024,"5.972,879","0,000","614,762","223,042","0,000","0,000","740,215","0,000","0,000","1.782,526","445,191","477,678","0,000","2.064,925","30,000","0,000","0,000","0,000","0,000","41,250","0,000","0,000","6.419,589"
07/01/2024,"7.526,128","0,000","460,750","266,129","0,000","0,000","2.195,281","0,000","0,000","1.446,440","243,085","239,099","0,000","2.322,579","485,645","0,000","0,000","0,000","0,000","108,750","0,000","0,000","7.767,758"
08/01/2024,"8.859,386","0,000","193,054","467,293","0,000","0,000","1.643,852","0,000","0,000","4.296,703","85,229","769,711","0,000","2.233,256","77,526","0,000","0,000","0,000","56,792","0,000","24,030","0,000","9.847,446"
09/01/2024,"10.259,702","0,000","152,374","390,089","0,000","0,000","1.006,643","0,000","0,000","3.087,539","159,317","656,308","0,000","744,462","2.028,088","533,000","0,000","0,000","0,000","126,250","1.282,521","0,000","10.166,591"
10/01/2024,"11.649,346","0,000","222,760","1.164,968","0,000","0,000","1.531,487","0,000","0,000","5.231,238","249,441","917,843","0,000","2.219,196","1.112,583","55,000","0,000","0,000","0,000","0,000","35,200","0,000","12.739,716"
11/01/2024,"8.117,409","0,000","130,026","394,975","0,000","0,000","2.054,253","0,000","0,000","2.168,136","1.812,176","751,014","0,000","748,734","57,500","0,000","0,000","0,000","0,000","106,103","78,333","0,000","8.301,250"
12/01/2024,"9.970,029","0,000","154,086","726,673","0,000","0,000","1.745,947","0,000","0,000","7.391,491","103,698","741,413","0,000","1.459,444","25,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","12.347,752"
13/01/2024,"5.248,174","0,000","376,021","391,394","0,000","0,000","1.160,276","0,000","0,000","1.348,029","302,567","505,907","0,000","1.349,478","0,000","26,800","0,000","0,000","0,000","0,000","3,162","0,000","5.463,634"
14/01/2024,"5.916,403","0,000","155,933","373,139","0,000","0,000","1.011,840","0,000","0,000","2.299,022","135,839","295,411","0,000","1.578,673","171,656","10,000","0,000","0,000","6,000","73,850","33,020","0,000","6.144,383"
15/01/2024,"8.913,133","0,000","245,827","554,259","0,000","0,000","1.338,607","0,000","0,000","2.098,857","227,142","1.882,096","0,000","2.573,385","180,000","30,000","0,000","0,000","152,000","25,000","0,000","0,000","9.307,173"
16/01/2024,"8.430,365","0,000","383,508","445,633","0,000","0,000","997,498","0,000","0,000","2.892,048","604,005","654,845","0,000","983,106","1.325,425","130,069","0,000","0,000","0,000","48,750","15,893","0,000","8.480,780"
17/01/2024,"10.426,910","0,000","303,007","507,534","0,000","0,000","1.029,894","0,000","0,000","6.958,098","127,181","325,653","0,000","1.420,954","0,000","0,000","0,000","0,000","0,000","1,250","52,193","0,000","10.725,764"
18/01/2024,"8.347,424","0,000","233,067","546,313","0,000","0,000","1.035,220","0,000","0,000","3.381,553","337,999","617,853","0,000","857,495","864,103","128,306","0,000","0,000","0,000","30,000","174,964","0,000","8.206,873"
19/01/2024,"7.948,596","0,000","297,706","458,012","0,000","0,000","1.976,799","0,000","0,000","2.249,673","382,840","415,105","0,000","2.426,049","6,836","0,000","0,000","0,000","0,000","0,000","0,000","0,000","8.213,020"
20/01/2024,"5.587,602","0,000","160,707","368,496","0,000","0,000","905,651","0,000","0,000","2.672,082","163,298","455,342","0,000","651,643","340,000","51,000","0,000","0,000","5,000","45,000","30,703","0,000","5.848,922"
21/01/2024,"6.084,107","0,000","139,166","420,984","0,000","0,000","1.206,641","0,000","0,000","2.075,233","216,238","239,235","0,000","1.514,009","17,000","42,070","0,000","0,000","14,000","0,000","430,488","0,000","6.315,064"
22/01/2024,"10.083,356","0,000","572,430","532,837","0,000","0,000","1.694,461","0,000","0,000","5.819,583","131,058","439,490","0,000","1.182,208","29,907","13,500","0,000","0,000","0,000","182,600","203,839","0,000","10.801,913"
23/01/2024,"8.928,802","0,000","158,478","563,742","0,000","0,000","1.513,665","0,000","0,000","3.808,194","266,168","536,390","0,000","1.378,321","227,500","371,174","0,000","0,000","0,000","108,750","106,296","0,000","9.038,678"
24/01/2024,"6.159,411","0,000","237,459","1.013,712","0,000","0,000","1.144,943","0,000","0,000","2.392,657","210,682","461,538","0,000","783,930","0,000","0,000","0,000","0,000","20,000","17,315","89,305","0,000","6.371,541"
25/01/2024,"6.264,207","0,000","416,148","357,985","0,000","0,000","856,319","0,000","0,000","2.300,140","482,811","460,815","0,000","804,658","20,000","0,000","0,000","0,000","0,000","25,000","396,513","0,000","6.120,389"
26/01/2024,"10.429,167","0,000","244,047","646,174","0,000","0,000","2.324,050","0,000","0,000","4.095,251","519,866","1.198,159","0,000","1.550,394","183,156","0,000","0,000","0,000","0,000","50,000","0,000","0,000","10.811,097"
27/01/2024,"7.535,132","0,000","108,040","1.010,489","0,000","0,000","1.570,805","0,000","0,000","3.227,128","122,071","369,638","0,000","1.006,064","157,500","5,000","0,000","0,000","0,000","42,500","126,977","0,000","7.746,212"
28/01/2024,"5.710,508","0,000","160,327","338,358","0,000","0,000","711,444","0,000","0,000","1.595,730","169,251","425,019","0,000","2.013,393","62,301","0,000","0,000","0,000","0,000","116,250","0,000","0,000","5.592,073"
29/01/2024,"6.933,133","0,000","119,497","423,894","0,000","0,000","1.756,547","0,000","0,000","2.838,447","152,046","213,677","0,000","1.271,264","340,636","0,000","0,000","0,000","0,000","136,250","10,533","0,000","7.262,791"
30/01/2024,"7.030,675","0,000","69,605","369,750","0,000","0,000","1.291,154","0,000","0,000","2.581,607","106,064","328,711","0,000","575,952","800,500","10,000","0,000","0,000","0,000","116,250","904,732","0,000","7.154,325"
31/01/2024,"8.986,438","0,000","192,126","445,025","0,000","0,000","2.017,326","0,000","0,000","2.623,491","140,539","2.421,160","0,000","1.057,480","190,000","10,000","0,000","0,000","0,000","76,250","162,721","0,000","9.336,118"
01/02/2024,"8.748,926","0,000","203,079","437,935","0,000","0,000","2.968,145","0,000","0,000","2.960,497","376,599","565,646","0,000","1.265,844","75,000","0,000","0,000","0,000","0,000","63,750","57,681","0,000","8.974,176"
02/02/2024,"7.088,363","0,000","118,153","691,871","0,000","0,000","1.346,026","0,000","0,000","1.489,837","74,055","832,326","0,000","2.441,227","328,966","0,000","0,000","0,000","33,005","13,750","240,544","0,000","7.609,760"
