Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
01/01/2024,,"102,17","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","102,19","0,00","0,00","102,19","102,19","102,19","102,19"
02/01/2024,,"124,21","124,69","122,92","124,69","124,69","124,69","124,69","124,69","122,92","124,69","124,69","122,92","124,69","122,92","124,69","124,69","0,00","0,00","122,92","124,69","122,92","124,69"
03/01/2024,,"94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","94,31","0,00","0,00","94,31","94,31","94,31","94,31"
04/01/2024,,"105,63","106,49","101,63","106,49","106,49","106,49","106,49","106,49","101,63","106,49","106,49","101,63","106,49","101,63","106,49","106,49","0,00","0,00","101,63","106,49","101,63","106,49"
05/01/2024,,"106,81","106,89","106,83","106,89","106,89","106,89","106,89","106,89","106,89","106,89","106,89","106,84","106,89","106,89","106,89","106,89","0,00","0,00","106,84","106,89","106,89","106,89"
06/01/2024,,"112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","112,72","0,00","0,00","112,72","112,72","112,72","112,72"
07/01/2024,,"111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","111,77","0,00","0,00","111,77","111,77","111,77","111,77"
08/01/2024,,"114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","114,79","0,00","0,00","114,79","114,79","114,79","114,79"
09/01/2024,,"119,33","119,83","116,26","119,83","116,43","119,83","116,43","119,83","116,26","119,83","116,43","116,85","119,83","116,26","119,83","119,83","0,00","0,00","116,85","116,43","116,26","119,83"
10/01/2024,,"137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","137,18","0,00","0,00","137,18","137,18","137,18","137,18"
11/01/2024,,"116,49","116,68","116,78","116,68","116,78","116,68","116,78","116,68","116,78","116,68","116,78","116,78","116,68","116,78","116,68","116,68","0,00","0,00","116,78","116,78","116,78","116,68"
12/01/2024,,"109,23","109,39","106,75","109,39","108,68","109,39","108,68","109,39","106,75","109,39","108,68","106,75","109,39","106,75","109,39","109,39","0,00","0,00","106,75","108,68","106,75","109,39"
13/01/2024,,"116,07","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","116,13","0,00","0,00","116,13","116,13","116,13","116,13"
14/01/2024,,"96,75","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","96,79","0,00","0,00","96,79","96,79","96,79","96,79"
15/01/2024,,"110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","110,63","0,00","0,00","110,63","110,63","110,63","110,63"
16/01/2024,,"106,08","106,18","104,10","106,18","106,18","106,18","106,18","106,18","106,18","106,18","106,18","104,10","106,18","106,18","106,18","106,18","0,00","0,00","104,10","106,17","106,18","106,18"
17/01/2024,,"109,09","109,36","104,47","109,36","109,36","109,36","109,36","109,36","109,36","109,36","109,36","104,47","109,36","109,36","109,36","109,36","0,00","0,00","104,47","109,36","109,36","109,36"
18/01/2024,,"95,42","96,34","88,43","96,34","73,23","96,34","93,56","96,34","88,43","96,34","73,23","88,43","96,34","88,43","96,34","96,34","0,00","0,00","88,43","93,56","88,43","96,34"
19/01/2024,,"101,53","101,70","100,44","101,70","101,70","101,70","101,70","101,70","101,43","101,70","101,70","100,44","101,70","101,43","101,70","101,70","0,00","0,00","100,44","101,70","101,43","101,70"
20/01/2024,,"95,45","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","95,47","0,00","0,00","95,47","95,47","95,47","95,47"
21/01/2024,,"83,36","86,64","80,80","86,64","80,80","86,21","80,80","86,64","80,80","86,64","80,80","80,80","86,64","80,80","86,64","86,64","0,00","0,00","80,80","80,80","80,80","86,64"
22/01/2024,,"108,77","107,50","109,19","109,19","109,19","109,19","109,19","107,50","109,19","107,50","109,19","109,19","107,50","109,19","107,50","107,50","0,00","0,00","109,19","109,19","109,19","107,50"
23/01/2024,,"80,82","82,08","82,08","82,08","50,30","82,08","82,08","82,08","82,08","82,08","50,30","82,08","82,08","82,08","82,08","82,08","0,00","0,00","82,08","82,08","82,08","82,08"
24/01/2024,,"100,93","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","100,97","0,00","0,00","100,97","100,97","100,97","100,97"
25/01/2024,,"102,23","104,83","104,83","104,83","77,41","104,83","104,83","104,83","104,83","104,83","77,41","104,83","104,83","104,83","104,83","104,83","0,00","0,00","104,83","104,83","104,83","104,83"
26/01/2024,,"109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","109,55","0,00","0,00","109,55","109,55","109,55","109,55"
27/01/2024,,"81,86","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","81,90","0,00","0,00","81,90","81,90","81,90","81,90"
28/01/2024,,"95,65","97,08","94,78","99,05","94,78","99,05","94,78","97,08","94,78","97,08","94,78","94,78","97,08","94,78","97,08","97,08","0,00","0,00","94,78","94,78","94,78","97,08"
29/01/2024,,"99,34","98,47","99,00","99,72","99,72","99,72","99,72","98,47","99,72","98,47","99,72","99,00","98,47","99,72","98,47","98,47","0,00","0,00","99,00","99,72","99,72","98,47"
30/01/2024,,"92,85","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","93,13","0,00","0,00","93,13","93,13","93,13","93,13"
31/01/2024,,"101,67","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","0,00","0,00","101,81","101,81","101,81","101,81"
01/02/2024,,"113,55","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","113,56","0,00","0,00","113,56","113,56","113,56","113,56"
02/02/2024,,"100,30","100,93","98,37","100,93","98,37","100,93","98,37","100,93","98,37","100,93","98,37","98,37","100,93","98,37","100,93","100,93","0,00","0,00","98,37","98,37","98,37","100,93"
03/02/2024,,"92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","92,50","0,00","0,00","92,50","92,50","92,50","92,50"
04/02/2024,,"84,67","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","84,70","0,00","0,00","84,70","84,70","84,70","84,70"
05/02/2024,,"81,92","82,09","81,93","82,09","81,93","82,09","81,93","82,09","81,93","82,09","81,93","81,93","82,09","81,93","82,09","82,09","0,00","0,00","81,93","81,93","81,93","82,09"
06/02/2024,,"95,19","96,05","95,09","96,05","95,09","96,05","95,09","96,05","95,09","96,05","95,09","95,09","96,05","95,09","96,05","96,05","0,00","0,00","95,09","95,09","95,09","96,05"
07/02/2024,,"96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","96,25","0,00","0,00","96,25","96,25","96,25","96,25"
