Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
26/01/2024,"39.127,331","0,000","1.840,006","2.971,972","0,000","0,000","5.652,313","0,000","0,000","22.058,446","414,463","2.669,874","0,000","5.807,398","1.147,500","0,200","0,000","0,000","47,000","796,500","420,739","0,000","43.826,411"
27/01/2024,"34.868,163","0,000","687,695","2.552,186","0,000","0,000","9.052,731","0,000","0,000","20.897,044","1.137,014","2.478,764","0,000","3.196,158","1.058,259","0,000","0,000","0,000","1.338,000","600,000","703,212","0,000","43.701,063"
28/01/2024,"23.238,178","0,000","941,778","2.479,166","0,000","0,000","3.782,826","0,000","0,000","14.529,560","570,695","4.480,786","0,000","2.569,431","926,138","0,300","0,000","0,000","13,000","896,148","39,665","0,000","31.229,493"
29/01/2024,"44.739,266","0,000","621,717","2.136,986","0,000","0,000","6.883,427","0,000","0,000","30.129,647","2.355,802","2.618,691","0,000","7.497,926","1.473,571","289,500","0,000","0,000","10,000","653,750","294,038","0,000","54.965,055"
30/01/2024,"45.867,337","0,000","654,930","2.531,464","0,000","0,000","11.239,632","0,000","0,000","28.276,875","1.470,754","2.330,572","0,000","4.236,192","820,000","0,000","0,000","0,000","5,000","837,250","637,215","0,000","53.039,884"
31/01/2024,"39.536,890","0,000","721,208","3.554,002","0,000","0,000","7.985,323","0,000","0,000","22.942,489","717,909","3.354,997","0,000","3.702,077","1.160,000","344,541","0,000","0,000","75,000","774,000","66,584","0,000","45.398,130"
01/02/2024,"45.481,943","0,000","698,876","2.244,989","0,000","0,000","13.797,688","0,000","0,000","24.601,562","1.340,515","4.204,503","0,000","3.783,546","940,000","90,000","0,000","0,000","0,000","756,000","46,024","0,000","52.503,703"
02/02/2024,"45.256,764","0,000","1.323,137","3.158,591","0,000","0,000","7.503,639","0,000","0,000","23.141,177","3.572,558","2.862,240","0,000","4.498,322","1.046,739","0,000","0,000","0,000","0,000","629,115","175,744","0,000","47.911,262"
03/02/2024,"33.826,527","0,000","519,459","3.038,405","0,000","0,000","4.718,676","0,000","0,000","24.986,697","558,756","2.121,785","0,000","8.069,893","583,509","0,000","0,000","0,000","0,000","304,000","23,599","0,000","44.924,779"
04/02/2024,"24.789,689","0,000","470,754","1.443,826","0,000","0,000","2.993,281","0,000","0,000","19.491,141","350,892","2.159,731","0,000","7.892,773","650,971","0,000","0,000","0,000","0,000","567,250","100,980","0,000","36.121,599"
05/02/2024,"41.684,150","0,000","505,191","2.312,247","0,000","0,000","5.152,455","0,000","0,000","23.513,060","1.993,967","3.000,462","0,000","13.181,373","786,010","0,000","0,000","0,000","0,000","512,500","27,235","0,000","50.984,500"
06/02/2024,"39.842,849","0,000","802,379","2.669,739","0,000","0,000","5.796,705","0,000","0,000","23.955,471","2.486,048","2.813,029","0,000","7.961,642","608,000","0,000","0,000","0,000","66,000","516,250","107,177","0,000","47.782,440"
07/02/2024,"44.043,368","0,000","1.309,640","3.729,796","0,000","0,000","7.385,065","0,000","0,000","25.818,342","3.196,169","3.862,758","0,000","4.602,976","1,000","24,000","0,000","0,000","0,000","255,000","59,825","0,000","50.244,571"
08/02/2024,"42.405,916","0,000","1.022,475","3.639,635","0,000","0,000","6.123,667","0,000","0,000","30.503,257","942,563","4.130,865","0,000","7.653,434","1.056,250","92,646","0,000","0,000","0,000","239,250","320,095","0,000","55.724,137"
09/02/2024,"46.531,622","0,000","765,040","2.249,242","0,000","0,000","9.644,231","0,000","0,000","36.941,099","459,904","2.875,780","0,000","3.848,853","907,500","0,000","0,000","0,000","29,442","328,235","0,000","0,000","58.049,326"
10/02/2024,"31.924,373","0,000","712,488","7.915,698","0,000","0,000","3.527,007","0,000","0,000","23.979,899","347,722","2.233,709","0,000","2.829,850","985,662","61,053","0,000","0,000","0,000","150,750","65,575","0,000","42.809,413"
11/02/2024,"25.214,038","0,000","533,160","2.395,602","0,000","0,000","2.612,383","0,000","0,000","16.408,416","985,814","2.258,868","0,000","1.798,261","1.383,540","523,874","0,000","0,000","0,000","780,029","179,422","0,000","29.859,369"
12/02/2024,"40.884,170","0,000","685,468","3.406,942","0,000","0,000","8.786,993","0,000","0,000","16.007,589","1.404,101","8.445,431","0,000","4.327,216","622,500","0,000","0,000","0,000","83,000","341,250","0,000","0,000","44.110,490"
13/02/2024,"41.318,172","0,000","732,896","2.366,454","0,000","0,000","9.747,817","0,000","0,000","31.023,370","1.872,068","3.777,488","0,000","9.177,537","187,500","132,400","0,000","0,000","8,000","227,500","30,812","0,000","59.283,842"
14/02/2024,"54.576,271","0,000","593,591","2.610,018","0,000","0,000","18.976,458","0,000","0,000","25.980,090","2.644,262","4.712,759","0,000","6.210,231","240,000","32,800","0,000","0,000","17,000","611,500","0,000","0,000","62.628,709"
