Data,Ora,MWh
08/01/2024,1,"301,666"
08/01/2024,2,"16,784"
08/01/2024,3,"-375,866"
08/01/2024,4,"-411,005"
08/01/2024,5,"-507,908"
08/01/2024,6,"-264,705"
08/01/2024,7,"402,680"
08/01/2024,8,"643,858"
08/01/2024,9,"231,278"
08/01/2024,10,"114,925"
08/01/2024,11,"-371,161"
08/01/2024,12,"-785,932"
08/01/2024,13,"-270,763"
08/01/2024,14,"-122,437"
08/01/2024,15,"-931,818"
08/01/2024,16,"-856,965"
08/01/2024,17,"34,854"
08/01/2024,18,"40,543"
08/01/2024,19,"-503,277"
08/01/2024,20,"-72,080"
08/01/2024,21,"329,092"
08/01/2024,22,"975,884"
08/01/2024,23,"-381,351"
08/01/2024,24,"-1.177,428"
09/01/2024,1,"-1.404,242"
09/01/2024,2,"-1.933,889"
09/01/2024,3,"-3.046,470"
09/01/2024,4,"-2.480,901"
09/01/2024,5,"-2.003,668"
09/01/2024,6,"-1.935,128"
09/01/2024,7,"-1.632,041"
09/01/2024,8,"-1.617,135"
09/01/2024,9,"-979,507"
09/01/2024,10,"-1.114,976"
09/01/2024,11,"-878,028"
09/01/2024,12,"-1.507,852"
09/01/2024,13,"-1.209,632"
09/01/2024,14,"-1.088,132"
09/01/2024,15,"-1.130,982"
09/01/2024,16,"-1.401,334"
09/01/2024,17,"-152,975"
09/01/2024,18,"302,599"
09/01/2024,19,"411,649"
09/01/2024,20,"731,105"
09/01/2024,21,"1.339,413"
09/01/2024,22,"1.853,899"
09/01/2024,23,"1.829,387"
09/01/2024,24,"1.664,257"
10/01/2024,1,"1.399,089"
10/01/2024,2,"1.344,743"
10/01/2024,3,"1.027,091"
10/01/2024,4,"1.376,049"
10/01/2024,5,"1.209,393"
10/01/2024,6,"1.198,434"
10/01/2024,7,"292,352"
10/01/2024,8,"169,476"
10/01/2024,9,"-1.265,374"
10/01/2024,10,"-1.708,994"
10/01/2024,11,"-1.738,678"
10/01/2024,12,"-2.018,642"
10/01/2024,13,"-222,376"
10/01/2024,14,"-785,614"
10/01/2024,15,"-1.278,054"
10/01/2024,16,"-560,463"
10/01/2024,17,"16,566"
10/01/2024,18,"-288,766"
10/01/2024,19,"-319,392"
10/01/2024,20,"557,771"
10/01/2024,21,"1.961,364"
10/01/2024,22,"1.289,098"
10/01/2024,23,"1.457,986"
10/01/2024,24,"1.007,967"
11/01/2024,1,"1.322,300"
11/01/2024,2,"1.185,203"
11/01/2024,3,"1.098,823"
11/01/2024,4,"1.055,584"
11/01/2024,5,"941,314"
11/01/2024,6,"1.771,906"
11/01/2024,7,"1.020,803"
11/01/2024,8,"-170,313"
11/01/2024,9,"-1.676,645"
11/01/2024,10,"-1.197,026"
