Data,Ora,MWh
01/01/2024,13,"-42,633"
01/01/2024,14,"3,481"
01/01/2024,15,"13,245"
01/01/2024,16,"8,216"
01/01/2024,17,"3,972"
01/01/2024,18,"10,565"
01/01/2024,19,"-7,588"
01/01/2024,20,"-8,787"
01/01/2024,21,"53,660"
01/01/2024,22,"85,299"
01/01/2024,23,"94,228"
01/01/2024,24,"108,809"
02/01/2024,13,"-3,710"
02/01/2024,14,"24,443"
02/01/2024,15,"-211,348"
02/01/2024,16,"-107,470"
02/01/2024,17,"39,832"
02/01/2024,18,"-34,015"
02/01/2024,19,"-49,165"
02/01/2024,20,"1,959"
02/01/2024,21,"-159,786"
02/01/2024,22,"-101,204"
02/01/2024,23,"41,531"
02/01/2024,24,"149,181"
03/01/2024,13,"47,960"
03/01/2024,14,"69,694"
03/01/2024,15,"135,526"
03/01/2024,16,"104,064"
03/01/2024,17,"115,086"
03/01/2024,18,"126,342"
03/01/2024,19,"90,861"
03/01/2024,20,"102,439"
03/01/2024,21,"-11,911"
03/01/2024,22,"58,612"
03/01/2024,23,"83,047"
03/01/2024,24,"113,020"
04/01/2024,13,"-68,611"
04/01/2024,14,"-20,143"
04/01/2024,15,"-45,452"
04/01/2024,16,"-127,304"
04/01/2024,17,"-0,433"
04/01/2024,18,"72,660"
04/01/2024,19,"103,300"
04/01/2024,20,"110,806"
04/01/2024,21,"64,793"
04/01/2024,22,"158,612"
04/01/2024,23,"126,346"
04/01/2024,24,"142,589"
05/01/2024,13,"55,492"
05/01/2024,14,"9,724"
05/01/2024,15,"51,473"
05/01/2024,16,"206,451"
05/01/2024,17,"160,509"
05/01/2024,18,"33,520"
05/01/2024,19,"204,975"
05/01/2024,20,"99,385"
05/01/2024,21,"130,075"
05/01/2024,22,"-23,363"
05/01/2024,23,"-64,689"
05/01/2024,24,"-89,873"
06/01/2024,13,"-2,505"
06/01/2024,14,"194,157"
06/01/2024,15,"317,894"
06/01/2024,16,"432,982"
06/01/2024,17,"274,358"
06/01/2024,18,"176,395"
06/01/2024,19,"90,411"
06/01/2024,20,"105,408"
06/01/2024,21,"20,391"
06/01/2024,22,"-42,881"
06/01/2024,23,"52,096"
06/01/2024,24,"57,489"
07/01/2024,13,"356,389"
07/01/2024,14,"631,113"
