Data,Ora,MWh
01/01/2024,13,"-27,882"
01/01/2024,14,"-12,779"
01/01/2024,15,"-10,008"
01/01/2024,16,"-1,231"
01/01/2024,17,"-18,854"
01/01/2024,18,"11,696"
01/01/2024,19,"14,734"
01/01/2024,20,"-9,832"
01/01/2024,21,"-14,046"
01/01/2024,22,"-41,198"
01/01/2024,23,"-53,470"
01/01/2024,24,"-60,869"
02/01/2024,13,"17,489"
02/01/2024,14,"0,571"
02/01/2024,15,"70,418"
02/01/2024,16,"63,104"
02/01/2024,17,"12,712"
02/01/2024,18,"59,801"
02/01/2024,19,"50,840"
02/01/2024,20,"-24,083"
02/01/2024,21,"-8,416"
02/01/2024,22,"-15,663"
02/01/2024,23,"-23,951"
02/01/2024,24,"-155,764"
03/01/2024,13,"-35,382"
03/01/2024,14,"-24,373"
03/01/2024,15,"-52,501"
03/01/2024,16,"-57,347"
03/01/2024,17,"-168,064"
03/01/2024,18,"-104,949"
03/01/2024,19,"-45,841"
03/01/2024,20,"-66,964"
03/01/2024,21,"-19,614"
03/01/2024,22,"-48,746"
03/01/2024,23,"-43,550"
03/01/2024,24,"-6,637"
04/01/2024,13,"-70,272"
04/01/2024,14,"-53,602"
04/01/2024,15,"-68,107"
04/01/2024,16,"-30,430"
04/01/2024,17,"-56,565"
04/01/2024,18,"-76,000"
04/01/2024,19,"-31,583"
04/01/2024,20,"-22,323"
04/01/2024,21,"-33,965"
04/01/2024,22,"-110,064"
04/01/2024,23,"-53,286"
04/01/2024,24,"-46,820"
05/01/2024,13,"-90,272"
05/01/2024,14,"-43,575"
05/01/2024,15,"0,000"
05/01/2024,16,"-41,478"
05/01/2024,17,"-32,715"
05/01/2024,18,"0,482"
05/01/2024,19,"-37,262"
05/01/2024,20,"-6,872"
05/01/2024,21,"-12,812"
05/01/2024,22,"-36,883"
05/01/2024,23,"-29,352"
05/01/2024,24,"154,812"
06/01/2024,13,"-11,167"
06/01/2024,14,"-110,115"
06/01/2024,15,"-74,493"
06/01/2024,16,"-70,230"
06/01/2024,17,"-47,354"
06/01/2024,18,"31,081"
06/01/2024,19,"39,892"
06/01/2024,20,"37,828"
06/01/2024,21,"35,853"
06/01/2024,22,"70,204"
