Data,Ora,MWh
01/01/2024,13,"-9,907"
01/01/2024,14,"-7,224"
01/01/2024,15,"23,133"
01/01/2024,16,"22,575"
01/01/2024,17,"23,114"
01/01/2024,18,"1,915"
01/01/2024,19,"-16,571"
01/01/2024,20,"-15,023"
01/01/2024,21,"-2,129"
01/01/2024,22,"0,893"
01/01/2024,23,"-4,007"
01/01/2024,24,"-0,314"
02/01/2024,13,"-1,693"
02/01/2024,14,"-7,057"
02/01/2024,15,"-9,656"
02/01/2024,16,"-21,566"
02/01/2024,17,"-7,813"
02/01/2024,18,"-20,855"
02/01/2024,19,"3,131"
02/01/2024,20,"-0,188"
02/01/2024,21,"-9,253"
02/01/2024,22,"4,067"
02/01/2024,23,"7,330"
02/01/2024,24,"-5,897"
03/01/2024,13,"3,003"
03/01/2024,14,"4,182"
03/01/2024,15,"-5,207"
03/01/2024,16,"12,529"
03/01/2024,17,"56,517"
03/01/2024,18,"113,725"
03/01/2024,19,"109,156"
03/01/2024,20,"105,211"
03/01/2024,21,"56,621"
03/01/2024,22,"17,495"
03/01/2024,23,"14,510"
03/01/2024,24,"9,855"
04/01/2024,13,"8,585"
04/01/2024,14,"18,594"
04/01/2024,15,"0,978"
04/01/2024,16,"1,396"
04/01/2024,17,"-3,981"
04/01/2024,18,"43,566"
04/01/2024,19,"12,622"
04/01/2024,20,"8,015"
04/01/2024,21,"4,082"
04/01/2024,22,"11,219"
04/01/2024,23,"9,083"
04/01/2024,24,"14,744"
05/01/2024,13,"1,998"
05/01/2024,14,"27,413"
05/01/2024,15,"8,260"
05/01/2024,16,"41,520"
05/01/2024,17,"43,742"
05/01/2024,18,"66,566"
05/01/2024,19,"74,224"
05/01/2024,20,"87,593"
05/01/2024,21,"111,730"
05/01/2024,22,"107,142"
05/01/2024,23,"114,319"
05/01/2024,24,"113,507"
06/01/2024,13,"63,773"
06/01/2024,14,"56,852"
06/01/2024,15,"46,384"
06/01/2024,16,"41,956"
06/01/2024,17,"39,645"
06/01/2024,18,"40,498"
06/01/2024,19,"26,441"
06/01/2024,20,"2,680"
06/01/2024,21,"1,294"
06/01/2024,22,"-6,635"
06/01/2024,23,"5,010"
06/01/2024,24,"4,934"
07/01/2024,13,"14,224"
07/01/2024,14,"24,698"
07/01/2024,15,"37,917"
07/01/2024,16,"34,554"
07/01/2024,17,"12,721"
07/01/2024,18,"12,558"
07/01/2024,19,"-5,180"
07/01/2024,20,"0,182"
07/01/2024,21,"3,805"
07/01/2024,22,"7,854"
07/01/2024,23,"11,211"
07/01/2024,24,"3,618"
08/01/2024,13,"-11,566"
08/01/2024,14,"-7,310"
08/01/2024,15,"3,335"
08/01/2024,16,"-10,363"
08/01/2024,17,"-29,503"
08/01/2024,18,"-30,439"
08/01/2024,19,"-35,369"
08/01/2024,20,"-52,977"
08/01/2024,21,"-39,811"
08/01/2024,22,"-47,779"
08/01/2024,23,"-64,414"
08/01/2024,24,"-34,755"
09/01/2024,13,"-18,359"
09/01/2024,14,"-19,090"
09/01/2024,15,"-9,241"
09/01/2024,16,"6,819"
09/01/2024,17,"-13,178"
09/01/2024,18,"10,588"
09/01/2024,19,"-3,341"
09/01/2024,20,"-7,693"
09/01/2024,21,"-1,871"
09/01/2024,22,"0,322"
09/01/2024,23,"5,040"
09/01/2024,24,"3,676"
10/01/2024,13,"-15,075"
10/01/2024,14,"8,709"
10/01/2024,15,"-17,193"
10/01/2024,16,"-18,696"
10/01/2024,17,"-25,183"
10/01/2024,18,"-21,958"
10/01/2024,19,"-23,647"
10/01/2024,20,"-31,961"
10/01/2024,21,"-3,579"
10/01/2024,22,"5,207"
10/01/2024,23,"25,880"
10/01/2024,24,"54,289"
11/01/2024,13,"125,464"
11/01/2024,14,"151,571"
11/01/2024,15,"165,861"
11/01/2024,16,"159,033"
11/01/2024,17,"161,584"
11/01/2024,18,"168,601"
11/01/2024,19,"148,705"
11/01/2024,20,"120,518"
11/01/2024,21,"119,465"
11/01/2024,22,"126,908"
11/01/2024,23,"146,666"
11/01/2024,24,"139,829"
12/01/2024,13,"-1,991"
12/01/2024,14,"-1,896"
12/01/2024,15,"3,913"
12/01/2024,16,"6,899"
12/01/2024,17,"-0,238"
12/01/2024,18,"-7,635"
12/01/2024,19,"-38,524"
12/01/2024,20,"0,087"
12/01/2024,21,"3,163"
12/01/2024,22,"4,777"
12/01/2024,23,"3,112"
12/01/2024,24,"-19,733"
13/01/2024,13,"7,004"
13/01/2024,14,"16,779"
13/01/2024,15,"23,606"
13/01/2024,16,"21,911"
13/01/2024,17,"25,351"
13/01/2024,18,"39,246"
13/01/2024,19,"5,487"
13/01/2024,20,"-2,318"
13/01/2024,21,"51,737"
13/01/2024,22,"10,714"
13/01/2024,23,"16,341"
13/01/2024,24,"11,835"
14/01/2024,13,"-4,264"
14/01/2024,14,"-11,104"
14/01/2024,15,"-13,559"
14/01/2024,16,"-3,006"
14/01/2024,17,"-1,154"
14/01/2024,18,"-4,080"
14/01/2024,19,"-4,327"
14/01/2024,20,"-4,472"
14/01/2024,21,"38,985"
14/01/2024,22,"0,060"
14/01/2024,23,"-10,780"
14/01/2024,24,"-28,767"
15/01/2024,13,"-1,200"
15/01/2024,14,"-7,639"
15/01/2024,15,"-3,902"
15/01/2024,16,"-14,950"
15/01/2024,17,"-16,698"
15/01/2024,18,"-2,520"
15/01/2024,19,"-9,282"
15/01/2024,20,"10,187"
15/01/2024,21,"-4,590"
15/01/2024,22,"-7,153"
15/01/2024,23,"10,934"
15/01/2024,24,"-9,249"
16/01/2024,13,"50,189"
16/01/2024,14,"54,026"
16/01/2024,15,"64,502"
16/01/2024,16,"70,581"
16/01/2024,17,"66,076"
16/01/2024,18,"69,155"
16/01/2024,19,"51,798"
16/01/2024,20,"32,336"
16/01/2024,21,"8,809"
16/01/2024,22,"-9,338"
16/01/2024,23,"-16,126"
16/01/2024,24,"-11,737"
17/01/2024,13,"-32,441"
17/01/2024,14,"-27,958"
17/01/2024,15,"5,703"
17/01/2024,16,"31,053"
17/01/2024,17,"5,196"
17/01/2024,18,"-23,776"
17/01/2024,19,"-15,575"
17/01/2024,20,"-31,247"
17/01/2024,21,"-17,599"
17/01/2024,22,"-15,855"
17/01/2024,23,"-17,792"
17/01/2024,24,"-11,114"
18/01/2024,13,"0,000"
18/01/2024,14,"0,000"
18/01/2024,15,"0,000"
18/01/2024,16,"27,401"
18/01/2024,17,"28,356"
18/01/2024,18,"11,932"
18/01/2024,19,"13,351"
18/01/2024,20,"15,609"
18/01/2024,21,"37,719"
18/01/2024,22,"21,563"
18/01/2024,23,"21,289"
18/01/2024,24,"38,746"
19/01/2024,13,"11,689"
19/01/2024,14,"9,801"
19/01/2024,15,"22,006"
19/01/2024,16,"22,879"
19/01/2024,17,"25,932"
19/01/2024,18,"17,842"
19/01/2024,19,"19,325"
19/01/2024,20,"-9,259"
19/01/2024,21,"9,045"
19/01/2024,22,"27,073"
19/01/2024,23,"20,839"
